Time (UTC),Temperature (°C),Temperature (K)
2025-10-28 00:00,24.10,297.25
2025-10-28 06:00,24.35,297.50
2025-10-28 12:00,23.85,297.00
2025-10-28 18:00,24.60,297.75
2025-10-29 00:00,24.60,297.75
2025-10-29 06:00,23.85,297.00
2025-10-29 12:00,23.85,297.00
2025-10-29 18:00,24.35,297.50
2025-10-30 00:00,22.10,295.25
2025-10-30 06:00,23.60,296.75
2025-10-30 12:00,23.85,297.00
2025-10-30 18:00,23.60,296.75
